protein_marker_01,protein_marker_02,protein_marker_03,protein_marker_04,protein_marker_05,protein_marker_06,protein_marker_07,protein_marker_08,protein_marker_09,protein_marker_10,protein_marker_11,protein_marker_12,protein_marker_13,protein_marker_14,protein_marker_15,protein_marker_16,protein_marker_17,protein_marker_18,protein_marker_19,protein_marker_20,protein_marker_21,protein_marker_22,protein_marker_23,protein_marker_24,protein_marker_25
-0.293639954,2.592365219,1.221415466,2.521116291,0.010368254,0.665769803,1.716046214,-0.177392454,-0.844814531,1.265926849,0.761053688,-0.446919019,-1.30974133,-0.855922344,-0.338893572,1.455410294,1.622622816,-0.706165255,0.406877729,-2.748309347,0.133677719,0.055478323,0.397852473,-0.343267216,-1.084013646
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-3.917165732,-3.921584278,-3.868646727,-5.052647794,-3.3735241,-3.29270507,-2.882714749,-1.595227107,-0.722167717,-0.571536267,-1.347012115,-0.359717362,0.990444229,-0.253016639,1.133166321,1.434603588,1.545579684,0.709563343,-1.064406031,-0.605683065,-0.667536882,-0.102352957,0.656340264,-0.124124231,0.065067526
-2.151244256,-1.456975356,-3.604323024,-0.98097742,-1.250013655,-0.740047915,-0.111560593,-0.607845323,-0.776802109,0.66593873,-0.601945072,-0.249180424,-0.404937505,-0.081182867,0.889712001,-0.441619282,-0.083228129,0.029424748,0.496331981,0.439501869,-0.106018161,0.124277272,0.945693609,0.872404187,1.703696299
2.548885053,2.070458769,2.364990773,1.041284661,0.489965947,1.950521561,0.811336149,-0.240593741,-1.0972613,0.366841379,1.245801625,-1.503046895,-0.071217151,0.419234915,1.848456907,-1.159864644,0.081735158,0.446405655,0.805696992,-0.888388919,-0.645539046,-1.365370164,-1.59357645,0.277421613,-0.706675514
1.377961933,0.820549662,0.575753523,1.397434728,-0.610354486,-0.473385148,-0.503696408,0.052780638,-0.20682332,-0.158465025,-1.098000844,-0.375664365,1.364991708,1.162595321,0.338711959,-0.157181571,0.395513647,-0.064339273,-2.17482886,-0.576906463,-1.205620417,-1.379082421,0.386878599,0.469470971,-0.537578654
,,,,,,,,,,,,,,,,,,,,,,,,
-0.211494065,-0.406857867,-1.536880853,-1.05844669,0.030660373,-1.158240865,-0.74741682,0.193558504,-0.265830535,-0.021831749,-1.047159022,-0.630678595,-0.470083018,0.377168512,0.477216364,0.698872655,0.055481812,0.340126622,0.353373023,-0.292247044,1.707794441,0.008524283,-0.680124862,0.256210606,-0.817227526
-0.128755335,1.691069151,-1.037949356,-0.371369808,-0.744197017,-0.674925632,-0.330285339,0.821433032,-0.347023645,1.39225613,-1.248692689,-1.188387785,0.466889892,-0.74621797,-2.664600763,1.678584568,-1.230705609,-1.731783478,-1.408875135,-0.51520825,1.064571995,0.012046025,-0.022317327,-0.096342611,1.159404482
,,,,,,,,,,,,,,,,,,,,,,,,
,-1.088267283,0.05012764,-0.112199543,-0.269637391,0.852898136,-0.567879857,-1.016751023,-1.387301779,0.400042506,0.972347889,1.346790553,0.112928693,-1.226561746,0.96057348,-0.317807839,-0.840360627,0.561540029,1.049316535,0.271062305,-0.641528443,-0.597334593,,-0.679256428,-0.503568931
