protein_marker_01,protein_marker_02,protein_marker_03,protein_marker_04,protein_marker_05,protein_marker_06,protein_marker_07,protein_marker_08,protein_marker_09,protein_marker_10,protein_marker_11,protein_marker_12,protein_marker_13,protein_marker_14,protein_marker_15,protein_marker_16,protein_marker_17,protein_marker_18,protein_marker_19,protein_marker_20,protein_marker_21,protein_marker_22,protein_marker_23,protein_marker_24,protein_marker_25
-0.293639954,2.592365219,1.221415466,2.521116291,0.010368254,0.665769803,1.716046214,-0.177392454,-0.844814531,1.265926849,0.761053688,-0.446919019,-1.30974133,-0.855922344,-0.338893572,1.455410294,1.622622816,-0.706165255,0.406877729,-2.748309347,0.133677719,0.055478323,0.397852473,-0.343267216,-1.084013646
0.58694042,0.735518156,1.53620399,0.455620675,-2.132239413,-1.170022783,-1.714701659,-1.37044579,-0.628246235,-0.550663657,-1.378970375,-0.614870038,0.275678572,0.701937281,1.351818646,0.377858032,0.921066662,1.39180443,-0.504789436,1.659527173,-0.528590458,0.022399673,-0.576679639,0.719497619,-0.229516499
-0.438936561,-0.157746137,1.102129741,-0.248002589,2.372176301,-0.075606784,0.739231948,-0.545689854,1.05483686,-0.207291625,-0.70162571,0.393818395,-0.776822193,1.312552396,0.318846891,0.583661239,-1.110439612,0.699031308,-2.005077636,0.005054931,-0.358974664,0.621898549,0.461069028,0.484930554,0.355972823
0.075438634,0.458216318,-0.299517109,1.664822247,0.311981494,0.741796306,1.633336691,-1.988521111,-1.51544255,1.490741635,-0.012455836,-0.966916885,-0.207017367,1.648811153,-0.302624622,1.433255681,-0.299752431,-0.730544507,-0.236518652,-0.395493961,0.27842507,-1.611709924,1.945139247,-1.768186499,1.364575655
-3.917165732,-3.921584278,-3.868646727,-5.052647794,-3.3735241,-3.29270507,-2.882714749,-1.595227107,-0.722167717,-0.571536267,-1.347012115,-0.359717362,0.990444229,-0.253016639,1.133166321,1.434603588,1.545579684,0.709563343,-1.064406031,-0.605683065,-0.667536882,-0.102352957,0.656340264,-0.124124231,0.065067526
-2.151244256,-1.456975356,-3.604323024,-0.98097742,-1.250013655,-0.740047915,-0.111560593,-0.607845323,-0.776802109,0.66593873,-0.601945072,-0.249180424,-0.404937505,-0.081182867,0.889712001,-0.441619282,-0.083228129,0.029424748,0.496331981,0.439501869,-0.106018161,0.124277272,0.945693609,0.872404187,1.703696299
2.548885053,2.070458769,2.364990773,1.041284661,0.489965947,1.950521561,0.811336149,-0.240593741,-1.0972613,0.366841379,1.245801625,-1.503046895,-0.071217151,0.419234915,1.848456907,-1.159864644,0.081735158,0.446405655,0.805696992,-0.888388919,-0.645539046,-1.365370164,-1.59357645,0.277421613,-0.706675514
1.377961933,0.820549662,0.575753523,1.397434728,-0.610354486,-0.473385148,-0.503696408,0.052780638,-0.20682332,-0.158465025,-1.098000844,-0.375664365,1.364991708,1.162595321,0.338711959,-0.157181571,0.395513647,-0.064339273,-2.17482886,-0.576906463,-1.205620417,-1.379082421,0.386878599,0.469470971,-0.537578654
-0.516279617,0.321043993,-0.758231356,-0.16075583,0.957137217,-1.587216335,-0.284741956,1.448492372,0.148722624,0.022267953,2.210837479,-0.422529473,-1.175158183,-1.941794916,-0.607089014,0.644429616,-0.984888376,-0.369852192,-0.77423207,-0.552878104,0.763702175,-0.364708419,-0.26801775,-0.751423827,-0.305682505
-0.211494065,-0.406857867,-1.536880853,-1.05844669,0.030660373,-1.158240865,-0.74741682,0.193558504,-0.265830535,-0.021831749,-1.047159022,-0.630678595,-0.470083018,0.377168512,0.477216364,0.698872655,0.055481812,0.340126622,0.353373023,-0.292247044,1.707794441,0.008524283,-0.680124862,0.256210606,-0.817227526
-0.128755335,1.691069151,-1.037949356,-0.371369808,-0.744197017,-0.674925632,-0.330285339,0.821433032,-0.347023645,1.39225613,-1.248692689,-1.188387785,0.466889892,-0.74621797,-2.664600763,1.678584568,-1.230705609,-1.731783478,-1.408875135,-0.51520825,1.064571995,0.012046025,-0.022317327,-0.096342611,1.159404482
1.796165094,0.224519661,0.831583363,-0.037163628,-0.42182653,-0.063152187,0.610509989,1.810049302,-0.000845303,0.439942071,2.302350717,1.221051993,-0.202427845,-2.003846257,-0.301609965,0.119323482,0.509574037,-0.340490598,0.782660877,0.852814132,0.331716082,-0.556348481,0.108633981,-0.203453235,-2.769830912
-1.467729645,-1.088267283,0.05012764,-0.112199543,-0.269637391,0.852898136,-0.567879857,-1.016751023,-1.387301779,0.400042506,0.972347889,1.346790553,0.112928693,-1.226561746,0.96057348,-0.317807839,-0.840360627,0.561540029,1.049316535,0.271062305,-0.641528443,-0.597334593,-0.624391902,-0.679256428,-0.503568931
1.21188204,-0.131985012,1.447733472,0.682553747,0.692466474,1.656980809,-0.384197848,0.281853605,-0.678480333,-0.839770929,-0.246390362,0.133876155,0.525537691,-0.905531436,0.147431285,-1.414542315,-0.131911089,-0.27028548,-0.162015634,0.393036738,-0.286918724,-0.395176321,0.18846376,0.914862355,1.14820728
0.335872065,1.986722598,0.946049155,0.317849899,2.418076328,2.540126531,0.845167745,0.678878446,0.563358992,-1.923727605,0.157127163,-2.002481791,-0.878290101,-0.110694752,0.105072169,0.89876537,-1.414768506,0.692862639,-0.7739116,0.610602214,1.05702126,0.298521761,-0.173487098,0.345468583,-0.312318481
-2.307770323,-0.598286997,0.184271817,-0.338249448,-0.681997839,-1.113588185,-1.784374097,-1.122676041,-0.553999885,-0.575769706,-0.406525884,-0.509353003,-0.166649345,1.208044936,0.885067602,0.295297256,-0.719340833,-0.038815917,-2.310567625,-0.09309427,-2.281486767,1.244621007,0.702438875,0.244547775,1.07288647
0.45141122,0.841101917,0.998990148,1.015226916,-0.170355045,1.919895023,-1.302901289,-0.488234282,0.125001041,0.498642981,0.300003935,0.018355397,-0.707440454,0.189850529,0.863868116,-1.484588566,-1.192755863,-0.542424416,0.814025295,-1.020309329,-0.363260224,-2.220396886,0.227574841,2.050784662,2.197684145
0.138785361,-1.654144142,-0.625654697,-1.994481026,-1.291203005,-0.053800828,0.498081195,-0.076840656,-1.411489073,-0.621229725,-1.629693754,-1.4635468,0.022226168,1.188394404,1.618318977,0.355643453,0.074991272,-0.669978193,2.002536979,1.805172479,0.73411592,0.623002121,0.375923359,0.47379917,0.080384647
0.810904114,0.963414148,-0.264321551,0.059239435,1.501194858,1.128743189,0.108631906,-0.98753754,-0.045980691,-0.999740224,-1.837825104,0.572427258,0.898112271,-0.283405703,0.095252705,-1.203621905,-0.145114147,-0.672628019,1.795651198,0.927534655,-1.138280382,-0.111151661,0.979387969,1.200496688,1.168934269
